Id,UID,UTC,UTCMilliseconds,PCLocalTime,PCTime,ChannelBitmap,SequenceBitmap,UpdateOf,Source,encounterCount,sightingNum,classifiedAs,classifierUsed,classifier2Used,voteList,spList,freqMax,freqMin,duration,freqBeg,freqEnd,freqRange,dcMean,dcStdDev,freqMean,freqStdDev,freqMedian,freqCenter,freqRelBW,freqMaxMinRatio,freqBegEndRatio,freqQuarter1,freqQuarter2,freqQuarter3,freqSpread,dcQuarter1Mean,dcQuarter2Mean,dcQuarter3Mean,dcQuarter4Mean,freqCOFM,freqStepUp,freqStepDown,freqNumSteps,freqSlopeMean,freqAbsSlopeMean,freqPosSlopeMean,freqNegSlopeMean,freqSlopeRatio,freqBegSweep,freqBegUp,freqBegDwn,freqEndSweep,freqEndUp,freqEndDwn,numSweepsUpDwn,numSweepsDwnUp,numSweepsUpFlat,numSweepsDwnFlat,numSweepsFlatUp,numSweepsFlatDwn,freqSweepUpPercent,freqSweepDwnPercent,freqSweepFlatPercent,numInflections,inflMaxDelta,inflMinDelta,inflMaxMinDelta,inflMeanDelta,inflStdDevDelta,inflMedianDelta,infldur,stepdur,freqPeak,bw3db,bw3dbLow,bw3dbHigh,bw10db,bw10dbLow,bw10dbHigh,rmsSignal,rmsNoise,snr,nCrossings,sweepRate,meanTimeZC,medianTimeZC,varianceTimeZC,whaleTrain,clickType,ici,offlineEventID,latitude,longitude
961,961,5/8/2014 13:55,592,5/8/2014 9:55,8/4/2023 13:55,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter11-B13h55m12s08may2014-Channel1-20140508_135530.csv                ,11,AutoEvent2          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.06-0.0-0.03333-0.30533-0.0-0.09733-0.136-0.10933-0.25867-)                                                                   ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17859.375,0.17,18046.875,18234.375,375,0,0,18082.72059,125.7017297,18093.75,18046.875,0.020779221,1.020997375,0.989717224,18000,18140.625,18140.625,187.5,0,0,0,0,0.01875,0,0,0,905.5397727,14968.03977,15873.57955,-16071.42857,-0.987689394,0,0,1,2,1,0,1,1,0,0,0,0,50,50,0,2,0.011,0.011,1,0.011,0,0.011,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,962,5/8/2014 13:55,375,5/8/2014 9:55,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter12-B13h55m12s08may2014-Channel1-20140508_135533.csv                ,12,AutoEvent2          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.04667-0.0-0.02133-0.304-0.0-0.09333-0.09067-0.16933-0.27467-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17812.5,0.171,18187.5,18046.875,468.75,0,0,18019.30147,145.4814009,18046.875,18046.875,0.025974026,1.026315789,1.007792208,17812.5,18281.25,18000,281.25,0,0,0,0,0.05625,0,0,0,-1241.418087,9817.412405,11434.65909,-12638.66342,-0.90473642,0,0,1,2,1,0,3,3,0,0,0,0,50,50,0,6,0.043,0.011,3.909090909,0.0256,0.012239281,0.021,35.0877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,963,5/8/2014 13:55,190,5/8/2014 9:55,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter13-B13h55m12s08may2014-Channel1-20140508_135543.csv                ,13,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.05467-0.0-0.028-0.292-0.0-0.08933-0.104-0.14533-0.28667-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17718.75,0.192,17718.75,17906.25,562.5,0,0,18046.875,140.625,18046.875,18000,0.03125,1.031746032,0.989528796,18093.75,18000,18046.875,187.5,0,0,0,0,0.0515625,0,0,0,1534.880051,10396.93813,17897.72727,-11394.07468,-1.57079252,2,1,0,0,0,1,3,2,0,1,0,1,40,53.33333333,6.666666667,5,0.022,0.021,1.047619048,0.0215,0.00057735,0.0215,26.04166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,964,5/8/2014 13:55,973,5/8/2014 9:55,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter14-B13h55m12s08may2014-Channel1-20140508_135545.csv                ,14,AutoEvent2          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.072-0.0-0.012-0.35333-0.0-0.08933-0.13467-0.13067-0.208-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17812.5,0.181,18234.375,18281.25,468.75,0,0,18062.5,170.9114031,18140.625,18046.875,0.025974026,1.026315789,0.997435897,18140.625,17859.375,18187.5,328.125,0,0,0,0,0.0328125,0,0,0,651.7379679,13987.29947,17775.97403,-18892.04545,-0.940923738,0,0,1,2,1,0,2,2,1,0,1,0,58.33333333,33.33333333,8.333333333,4,0.085,0.011,7.727272727,0.039,0.04014972,0.021,22.09944751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,965,5/8/2014 13:55,982,5/8/2014 9:55,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter15-B13h55m12s08may2014-Channel1-20140508_135552.csv                ,15,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.09733-0.0-0.05867-0.22933-0.0-0.19867-0.112-0.11467-0.18933-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17812.5,0.159,18234.375,17906.25,421.875,0,0,18008.78906,140.3317254,18023.4375,18023.4375,0.023407022,1.023684211,1.018324607,17953.125,17812.5,18093.75,210.9375,0,0,0,0,0.0328125,0,0,0,-2073.863636,15028.40909,16193.18182,-14251.89394,-1.136212625,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,966,5/8/2014 13:55,357,5/8/2014 9:55,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter16-B13h55m12s08may2014-Channel1-20140508_135554.csv                ,16,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.244-0.0-0.04533-0.10133-0.0-0.10933-0.236-0.02533-0.23867-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18609.375,17859.375,0.17,18562.5,18046.875,750,0,0,18157.16912,216.0456854,18046.875,18234.375,0.041131105,1.041994751,1.028571429,18328.125,18046.875,17953.125,234.375,0,0,0,0,0.046875,0,0,0,-2951.882102,9663.52983,8948.863636,-14417.61364,-0.620689655,0,0,1,2,1,0,0,1,1,0,0,1,36.36363636,45.45454545,18.18181818,2,0.085,0.085,1,0.085,0,0.085,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967,967,5/8/2014 13:56,192,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter17-B13h55m12s08may2014-Channel1-20140508_135604.csv                ,17,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.08933-0.0-0.03333-0.268-0.0-0.09067-0.15867-0.116-0.244-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17906.25,0.159,18281.25,17906.25,375,0,0,18087.89063,125.633162,18093.75,18093.75,0.020725389,1.020942408,1.020942408,18187.5,18093.75,18187.5,199.21875,0,0,0,0,0.028125,0,0,0,-2244.318182,9460.227273,13529.82955,-12540.58442,-1.078883495,0,0,1,0,0,1,2,1,0,1,1,0,27.27272727,63.63636364,9.090909091,4,0.022,0.021,1.047619048,0.021333333,0.00057735,0.021,25.1572327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,968,5/8/2014 13:56,587,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter18-B13h55m12s08may2014-Channel1-20140508_135612.csv                ,18,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.064-0.0-0.02933-0.284-0.0-0.13733-0.15733-0.09333-0.23467-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17718.75,0.17,18234.375,18046.875,515.625,0,0,18030.33088,134.5781745,18046.875,17976.5625,0.028683181,1.029100529,1.01038961,17812.5,17718.75,18093.75,93.75,0,0,0,0,0.0328125,0,0,0,-1010.594223,11027.75805,13356.21843,-16051.13636,-0.832104228,0,0,1,0,0,1,2,3,1,0,0,1,44.44444444,44.44444444,11.11111111,6,0.053,0.011,4.818181818,0.0256,0.015962456,0.021,35.29411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,969,5/8/2014 13:56,392,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter19-B13h55m12s08may2014-Channel1-20140508_135615.csv                ,19,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.08933-0.0-0.03467-0.24533-0.0-0.116-0.128-0.12933-0.25733-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17812.5,0.17,18046.875,17953.125,421.875,0,0,18024.81618,125.2510691,18000,18023.4375,0.023407022,1.023684211,1.005221932,17953.125,18046.875,18234.375,93.75,0,0,0,0,0.0703125,0,0,0,-506.0369318,11052.91193,12053.57143,-11558.94886,-1.04279131,0,0,1,0,0,1,1,1,0,0,0,0,50,50,0,2,0.074,0.074,1,0.074,0,0.074,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,970,5/8/2014 13:56,207,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter20-B13h55m12s08may2014-Channel1-20140508_135618.csv                ,20,AutoEvent2          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.04933-0.0-0.02133-0.34133-0.0-0.084-0.09733-0.18133-0.22533-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17812.5,0.15,17812.5,18093.75,421.875,0,0,18021.875,132.4245911,18046.875,18023.4375,0.023407022,1.023684211,0.984455959,18234.375,17906.25,17859.375,140.625,0,0,0,0,0.065625,0,0,0,1667.343074,11421.13095,15269.88636,-11379.41919,-1.341886269,2,1,0,2,1,0,3,3,0,0,0,0,42.85714286,57.14285714,0,6,0.064,0.011,5.818181818,0.0236,0.022995652,0.011,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,971,5/8/2014 13:56,562,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter21-B13h55m12s08may2014-Channel1-20140508_135619.csv                ,21,AutoEvent2          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.068-0.0-0.02533-0.30667-0.0-0.09333-0.12933-0.11333-0.264-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17812.5,0.213,18281.25,17812.5,468.75,0,0,18055.80357,165.475421,18093.75,18046.875,0.025974026,1.026315789,1.026315789,18093.75,17859.375,18093.75,328.125,0,0,0,0,0.0609375,0,0,0,-2151.988636,9609.375,14914.77273,-11761.36364,-1.268115942,0,0,1,0,0,1,2,2,0,0,0,0,25,75,0,4,0.075,0.011,6.818181818,0.035666667,0.03442867,0.021,18.77934272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972,972,5/8/2014 13:56,390,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter22-B13h55m12s08may2014-Channel1-20140508_135622.csv                ,22,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.08933-0.0-0.028-0.27067-0.0-0.09067-0.10667-0.172-0.24267-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17812.5,0.159,17906.25,18187.5,468.75,0,0,18046.875,141.1448724,18093.75,18046.875,0.025974026,1.026315789,0.984536082,17812.5,18281.25,18093.75,164.0625,0,0,0,0,0.0375,0,0,0,2073.863636,11221.59091,16619.31818,-17151.98864,-0.968944099,0,0,1,2,1,0,2,2,0,0,0,0,77.77777778,22.22222222,0,4,0.063,0.012,5.25,0.039333333,0.025696952,0.043,25.1572327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
973,973,5/8/2014 13:56,965,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter23-B13h55m12s08may2014-Channel1-20140508_135634.csv                ,23,AutoEvent2          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.07867-0.0-0.036-0.31467-0.0-0.10133-0.13467-0.10133-0.23333-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17765.625,0.192,18140.625,17906.25,515.625,0,0,18054.27632,130.9736282,18046.875,18023.4375,0.028608583,1.029023747,1.013089005,18046.875,17906.25,18140.625,187.5,0,0,0,0,0.065625,0,0,0,-1511.205808,9200.073653,13839.96212,-9640.151515,-1.435658153,0,0,1,0,0,1,2,1,0,1,0,1,23.07692308,69.23076923,7.692307692,3,0.021,0.02,1.05,0.0205,0.000707107,0.0205,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,974,5/8/2014 13:56,200,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter24-B13h55m12s08may2014-Channel1-20140508_135639.csv                ,24,AutoEvent2          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.05067-0.0-0.03067-0.30533-0.0-0.08267-0.10267-0.19333-0.23467-)                                                              ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17718.75,0.159,17718.75,18046.875,562.5,0,0,18026.78571,171.2103156,18046.875,18000,0.03125,1.031746032,0.981818182,18281.25,17906.25,18187.5,234.375,0,0,0,0,0.0703125,0,0,0,2591.184018,12916.79591,20160.3739,-13423.29545,-1.501894521,2,1,0,0,0,1,2,2,0,0,0,0,50,50,0,4,0.042,0.01,4.2,0.028333333,0.016502525,0.033,25.1572327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,975,5/8/2014 13:56,554,5/8/2014 9:56,8/4/2023 13:56,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter25-B13h55m12s08may2014-Channel1-20140508_135640.csv                ,25,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.08667-0.0-0.01733-0.26933-0.0-0.10533-0.09067-0.24533-0.18533-)                                                              ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18187.5,17671.875,0.16,17671.875,18187.5,515.625,0,0,17909.375,156.9404388,17906.25,17929.6875,0.02875817,1.029177719,0.971649485,17812.5,17812.5,18093.75,234.375,0,0,0,0,0.0609375,0,0,0,3289.02868,10076.77219,11695.07576,-11878.55114,-0.984554061,2,1,0,0,0,1,3,2,0,0,0,0,70,30,0,5,0.033,0.02,1.65,0.024,0.006055301,0.0215,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
